,Detector,Distance (cm),Lateral displacement (cm),Pulse length (microseconds),Shielding or not,Beam intensity (V),Recorded Dose (C*10^-8),Filename min,Filename max,Notes,Magnet
0,ACLGADs 300 micron pitch,154.3,0,2.0,N,85,0.087,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0048CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0052CH1.csv,,
1,ACLGADs 300 micron pitch,154.3,0,1.0,N,85,0.059,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0053CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0060CH1.csv,,
2,ACLGADs 300 micron pitch,154.3,0,3.0,N,85,0.102,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0061CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0069CH1.csv,,
3,ACLGADs 300 micron pitch,154.3,0,0.5,N,85,0.045,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0070CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0081CH1.csv,,
4,ACLGADs 300 micron pitch,107.0,0,1.0,N,85,0.123,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0082CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0093CH1.csv,,
5,ACLGADs 300 micron pitch,107.0,0,2.0,N,85,0.173,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0094CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0106CH1.csv,,
6,ACLGADs 300 micron pitch,107.0,0,3.0,N,85,,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0107CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0120CH1.csv,,
7,ACLGADs 300 micron pitch,57.0,0,1.0,N,85,0.403,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0121CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0127CH1.csv,,
8,ACLGADs 300 micron pitch,57.0,0,2.0,N,85,0.593,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0128CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0139CH1.csv,saturated,
9,ACLGADs 300 micron pitch,57.0,0,3.0,N,85,0.737,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0140CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0152CH1.csv,,
10,ACLGADs 300 micron pitch,75.0,0,1.0,N,85,0.247,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0153CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0165CH1.csv,,
11,ACLGADs 300 micron pitch,75.0,0,2.0,N,85,0.355,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0166CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0182CH1.csv,,
12,ACLGADs 300 micron pitch,75.0,0,3.0,N,85,0.453,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0183CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0198CH1.csv,,
13,ACLGADs 500 micron pitch,150.0,0,3.0,N,85,0.077,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0199CH1.csv,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/2025-03-24/tek0207CH1.csv,,
